,car,price,body,mileage,engV,engType,registration,year,model,drive,engV_cat,age,age_Group,price_cat,mpy,mpy_cat
33,Audi,2600.0,vagon,273.0,2.5,Diesel,no,1999,A6,front,Moderate,17,10-29,Low,16.06,High
34,Chrysler,13700.0,sedan,70.0,2.4,Petrol,yes,2008,Sebring,front,Moderate,8,6-10,Moderate,8.75,Low
35,Volkswagen,8999.0,sedan,120.0,2.0,Petrol,yes,2008,Passat B6,front,Low,8,6-10,Low,15.0,Moderate
36,Jaguar,18777.0,sedan,82.0,3.0,Petrol,yes,2008,XF,rear,Moderate,8,6-10,Moderate,10.25,Moderate
37,Audi,2850.0,sedan,260.0,2.5,Other,no,1999,A6,front,Moderate,17,10-29,Low,15.29,High
38,Audi,37000.0,sedan,37.0,2.8,Petrol,yes,2012,A6,full,Moderate,4,3-6,Moderate,9.25,Low
39,Mercedes-Benz,200000.0,van,19.0,3.5,Petrol,yes,2013,Sprinter 324 пасс.,rear,Moderate,3,1-3,Extreme,6.33,Low
40,Audi,3850.0,vagon,215.0,2.5,Diesel,no,2002,A6,front,Moderate,14,10-29,Low,15.36,High
41,Nissan,13275.0,hatch,12.0,1.0,Other,yes,2013,Leaf,front,Low,3,1-3,Moderate,4.0,Low
43,BMW,1900.0,sedan,300.0,2.5,Diesel,no,1997,5 Series,rear,Moderate,19,10-29,Low,15.79,High
44,BMW,39333.0,sedan,6.0,2.0,Petrol,yes,2016,520,rear,Low,0,0-1,Moderate,0.0,Low
45,Mercedes-Benz,99999.0,crossover,0.0,2.99,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
46,Mercedes-Benz,70999.0,crossover,0.0,2.2,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
47,BMW,63500.0,crossover,1.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
48,BMW,59900.0,crossover,30.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
49,Mitsubishi,9200.0,crossover,110.0,2.4,Petrol,yes,2006,Outlander,full,Moderate,10,6-10,Low,11.0,Moderate
50,Nissan,20241.897,crossover,4.0,1.6,Petrol,yes,2015,Juke,front,Low,1,0-1,Moderate,4.0,Low
51,Mercedes-Benz,14490.0,vagon,212.0,2.2,Diesel,yes,2008,E-Class,rear,Moderate,8,6-10,Moderate,26.5,Extreme
52,Mercedes-Benz,31500.0,sedan,123.0,2.2,Diesel,yes,2011,E-Class,rear,Moderate,5,3-6,Moderate,24.6,High
53,Mercedes-Benz,90749.5,crossover,0.0,3.0,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
54,Volkswagen,8999.0,sedan,120.0,1.9,Diesel,yes,2007,Passat B6,front,Low,9,6-10,Low,13.33,Moderate
55,Audi,3650.0,sedan,240.0,2.5,Diesel,no,2000,A6,front,Moderate,16,10-29,Low,15.0,Moderate
56,Nissan,17000.0,hatch,38.0,1.0,Other,yes,2013,Leaf,front,Low,3,1-3,Moderate,12.67,Moderate
57,Mitsubishi,12000.0,sedan,121.0,2.4,Gas,yes,2009,Galant,front,Moderate,7,6-10,Moderate,17.29,High
58,Kia,20633.886000000002,crossover,0.0,1.7,Diesel,yes,2016,Sportage,front,Low,0,0-1,Moderate,0.0,Low
59,Porsche,55000.0,crossover,105.0,3.0,Diesel,yes,2012,Cayenne,full,Moderate,4,3-6,High,26.25,Extreme
60,Kia,18000.0,crossover,64.0,2.0,Diesel,yes,2011,Sportage,full,Low,5,3-6,Moderate,12.8,Moderate
61,Kia,21700.0,crossover,58.0,2.0,Diesel,yes,2012,Sportage,full,Low,4,3-6,Moderate,14.5,Moderate
62,Volkswagen,2400.0,vagon,320.0,1.9,Diesel,no,2000,Passat B5,front,Low,16,10-29,Low,20.0,High
63,Volkswagen,2350.0,sedan,300.0,1.9,Diesel,no,1998,Passat B5,front,Low,18,10-29,Low,16.67,High
64,Honda,18600.0,vagon,98.0,2.4,Gas,yes,2011,Accord,front,Moderate,5,3-6,Moderate,19.6,High
65,Mercedes-Benz,104999.0,crossover,1.0,3.0,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,Extreme,0.0,Low
66,Toyota,195000.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,Extreme,0.0,Low
67,Porsche,49900.0,crossover,73.0,3.0,Diesel,yes,2011,Cayenne,full,Moderate,5,3-6,Moderate,14.6,Moderate
68,Porsche,50900.0,crossover,53.0,3.6,Petrol,yes,2013,Cayenne,full,Moderate,3,1-3,High,17.67,High
69,Porsche,99999.0,crossover,1.0,2.99,Diesel,yes,2016,Cayenne,full,Moderate,0,0-1,High,0.0,Low
71,Toyota,99999.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
72,Toyota,102999.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,Extreme,0.0,Low
73,Audi,35900.0,crossover,143.0,3.0,Diesel,yes,2010,Q7,full,Moderate,6,3-6,Moderate,23.83,High
74,Honda,16500.0,sedan,147.0,2.4,Petrol,yes,2009,Accord,front,Moderate,7,6-10,Moderate,21.0,High
75,Toyota,103999.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,Extreme,0.0,Low
76,Porsche,114900.0,crossover,25.0,4.8,Petrol,yes,2013,Cayenne,full,High,3,1-3,Extreme,8.33,Low
77,Porsche,26500.0,crossover,160.0,4.8,Petrol,yes,2008,Cayenne,full,High,8,6-10,Moderate,20.0,High
78,Mitsubishi,12999.0,crossover,140.0,2.4,Gas,yes,2007,Outlander XL,full,Moderate,9,6-10,Moderate,15.56,High
79,Honda,30000.0,sedan,52.0,3.5,Gas,yes,2014,Accord,front,Moderate,2,1-3,Moderate,26.0,Extreme
80,Porsche,26900.0,crossover,135.0,4.8,Petrol,yes,2008,Cayenne,full,High,8,6-10,Moderate,16.88,High
81,Toyota,80000.0,crossover,23.0,4.5,Diesel,yes,2014,Land Cruiser 200,full,High,2,1-3,High,11.5,Moderate
82,BMW,8500.0,sedan,260.0,2.2,Gas,yes,2001,520,rear,Moderate,15,10-29,Low,17.33,High
83,Mercedes-Benz,7000.0,van,197.0,2.2,Diesel,yes,2002,Vito пасс.,front,Moderate,14,10-29,Low,14.07,Moderate
84,Audi,36000.0,crossover,145.0,3.0,Petrol,yes,2010,Q7,full,Moderate,6,3-6,Moderate,24.17,High
85,Mercedes-Benz,9500.0,van,280.0,2.2,Diesel,yes,2005,Vito пасс.,rear,Moderate,11,10-29,Low,25.45,Extreme
87,Toyota,100000.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
88,Mercedes-Benz,16500.0,other,107.0,2.2,Diesel,yes,2010,Vito пасс.,front,Moderate,6,3-6,Moderate,17.83,High
89,Toyota,15500.0,sedan,120.0,3.5,Petrol,yes,2008,Camry,front,Moderate,8,6-10,Moderate,15.0,Moderate
90,Porsche,96500.0,sedan,22.0,4.8,Petrol,yes,2014,Panamera,full,High,2,1-3,High,11.0,Moderate
91,Mercedes-Benz,10999.0,van,191.0,2.2,Diesel,yes,2007,Vito пасс.,rear,Moderate,9,6-10,Moderate,21.22,High
94,Toyota,76500.0,crossover,49.0,4.5,Diesel,yes,2014,Land Cruiser 200,full,High,2,1-3,High,24.5,High
95,Mercedes-Benz,16500.0,van,223.0,2.2,Diesel,yes,2009,Vito пасс.,rear,Moderate,7,6-10,Moderate,31.86,Extreme
96,Volkswagen,17900.0,crossover,145.0,3.0,Diesel,yes,2007,Touareg,full,Moderate,9,6-10,Moderate,16.11,High
97,Volkswagen,13700.0,van,165.0,2.0,Diesel,yes,2013,T5 (Transporter) груз,front,Low,3,1-3,Moderate,55.0,Extreme
99,Volkswagen,20000.0,crossover,115.0,2.5,Diesel,yes,2008,Touareg,full,Moderate,8,6-10,Moderate,14.38,Moderate
100,BMW,21000.0,sedan,186.0,3.0,Petrol,yes,2007,530,rear,Moderate,9,6-10,Moderate,20.67,High
101,Hyundai,11800.0,sedan,65.0,1.4,Petrol,yes,2013,Accent,front,Low,3,1-3,Moderate,21.67,High
102,Mercedes-Benz,5300.0,van,450.0,2.2,Diesel,yes,2000,Vito пасс.,front,Moderate,16,10-29,Low,28.12,Extreme
103,Volkswagen,10000.0,van,231.0,1.9,Diesel,yes,2005,T5 (Transporter) пасс.,front,Low,11,10-29,Low,21.0,High
104,Volkswagen,37990.0,crossover,140.0,3.0,Diesel,yes,2012,Touareg,full,Moderate,4,3-6,Moderate,35.0,Extreme
105,Porsche,99999.0,crossover,0.0,3.0,Diesel,yes,2016,Cayenne,full,Moderate,0,0-1,High,0.0,Low
106,BMW,3900.0,vagon,240.0,3.0,Diesel,no,2001,530,rear,Moderate,15,10-29,Low,16.0,High
107,Volkswagen,33500.0,crossover,98.0,3.0,Petrol,yes,2013,Touareg,full,Moderate,3,1-3,Moderate,32.67,Extreme
108,Hyundai,9700.0,sedan,54.0,1.4,Petrol,yes,2013,Accent,front,Low,3,1-3,Low,18.0,High
110,Mercedes-Benz,6200.0,sedan,221.0,1.8,Gas,yes,2004,E-Class,rear,Low,12,10-29,Low,18.42,High
112,Hyundai,6900.0,crossover,105.0,1.6,Petrol,yes,2009,Accent,front,Low,7,6-10,Low,15.0,Moderate
113,Mercedes-Benz,20300.0,sedan,198.0,1.8,Gas,yes,2011,E-Class,rear,Low,5,3-6,Moderate,39.6,Extreme
114,Audi,18500.0,crossover,185.0,3.6,Petrol,yes,2008,Q7,full,Moderate,8,6-10,Moderate,23.12,High
115,Toyota,73900.0,crossover,1.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
116,Toyota,30500.0,crossover,40.0,2.7,Petrol,yes,2011,Land Cruiser Prado,full,Moderate,5,3-6,Moderate,8.0,Low
117,Toyota,30800.0,crossover,56.0,2.7,Gas,yes,2011,Land Cruiser Prado,full,Moderate,5,3-6,Moderate,11.2,Moderate
118,Toyota,25500.0,crossover,200.0,4.0,Petrol,yes,2007,Land Cruiser Prado,full,Moderate,9,6-10,Moderate,22.22,High
119,Mercedes-Benz,29500.0,sedan,37.0,1.8,Petrol,yes,2012,E-Class,rear,Low,4,3-6,Moderate,9.25,Low
120,Opel,3550.0,vagon,231.0,2.0,Diesel,no,2005,Vectra C,front,Low,11,10-29,Low,21.0,High
121,Volkswagen,12325.0,van,162.0,2.0,Diesel,yes,2011,T5 (Transporter) груз,front,Low,5,3-6,Moderate,32.4,Extreme
122,Toyota,99999.0,crossover,0.0,4.5,Petrol,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
123,Mercedes-Benz,107999.0,crossover,0.0,2.98,Diesel,yes,2016,GLS 350,full,Moderate,0,0-1,Extreme,0.0,Low
124,BMW,57000.0,crossover,1.0,3.0,Diesel,yes,2014,X6,full,Moderate,2,1-3,High,0.5,Low
125,BMW,75000.0,crossover,16.0,3.0,Diesel,yes,2015,X6,full,Moderate,1,0-1,High,16.0,High
126,Toyota,74999.0,crossover,1.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
127,Audi,34000.0,crossover,118.0,2.0,Diesel,yes,2013,Q5,full,Low,3,1-3,Moderate,39.33,Extreme
128,BMW,2850.0,sedan,214.0,1.9,Petrol,no,2000,318,rear,Low,16,10-29,Low,13.38,Moderate
129,Volkswagen,3250.0,sedan,255.0,1.9,Diesel,no,2003,Passat B5,front,Low,13,10-29,Low,19.62,High
130,Volkswagen,16900.0,crossover,133.0,2.5,Diesel,yes,2007,Touareg,full,Moderate,9,6-10,Moderate,14.78,Moderate
131,Toyota,99999.0,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,full,High,0,0-1,High,0.0,Low
132,Chevrolet,6800.0,sedan,106.0,1.6,Petrol,yes,2007,Lacetti,front,Low,9,6-10,Low,11.78,Moderate
133,Toyota,23400.0,crossover,120.0,4.0,Petrol,yes,2007,Land Cruiser Prado,full,Moderate,9,6-10,Moderate,13.33,Moderate
134,Skoda,17900.0,sedan,65.0,1.8,Petrol,yes,2013,Superb,front,Low,3,1-3,Moderate,21.67,High
135,Toyota,37700.0,crossover,62.0,3.0,Diesel,yes,2013,Land Cruiser Prado,full,Moderate,3,1-3,Moderate,20.67,High
136,Land Rover,29500.0,crossover,50.0,3.5,Diesel,yes,2008,Range Rover Sport,full,Moderate,8,6-10,Moderate,6.25,Low
137,Mercedes-Benz,93555.0,crossover,0.0,3.0,Other,yes,2016,GLS 350,full,Moderate,0,0-1,High,0.0,Low
138,Volkswagen,30000.0,sedan,67.0,2.0,Diesel,yes,2013,Passat B7,front,Low,3,1-3,Moderate,22.33,High
139,Mitsubishi,7999.0,sedan,112.0,2.0,Petrol,yes,2008,Lancer X,front,Low,8,6-10,Low,14.0,Moderate
140,Land Rover,43500.0,crossover,54.0,5.0,Petrol,yes,2012,Range Rover Sport,full,High,4,3-6,Moderate,13.5,Moderate
141,Mercedes-Benz,107777.0,crossover,0.0,3.0,Diesel,yes,2016,GLS 350,full,Moderate,0,0-1,Extreme,0.0,Low
142,Mitsubishi,8400.0,sedan,91.0,1.5,Petrol,yes,2009,Lancer X,front,Low,7,6-10,Low,13.0,Moderate
143,Land Rover,40000.0,vagon,52.0,2.2,Diesel,yes,2013,Range Rover Evoque,full,Moderate,3,1-3,Moderate,17.33,High
144,Mercedes-Benz,109999.0,crossover,0.0,2.98,Diesel,yes,2016,GLS 350,full,Moderate,0,0-1,Extreme,0.0,Low
145,Opel,2780.0,sedan,254.0,2.2,Diesel,yes,2003,Vectra C,front,Moderate,13,10-29,Low,19.54,High
146,Mercedes-Benz,43500.0,other,51.0,3.0,Diesel,yes,2014,E-Class,rear,Moderate,2,1-3,Moderate,25.5,Extreme
147,Volkswagen,18700.0,other,145.0,2.0,Diesel,yes,2011,T5 (Transporter) груз,front,Low,5,3-6,Moderate,29.0,Extreme
148,Chevrolet,7800.0,sedan,85.0,1.6,Gas,yes,2012,Lacetti,front,Low,4,3-6,Low,21.25,High
149,BMW,6350.0,crossover,156.0,4.4,Gas,no,2002,X5,full,High,14,10-29,Low,11.14,Moderate
150,Daewoo,3500.0,sedan,112.0,1.5,Petrol,yes,2007,Lanos,front,Low,9,6-10,Low,12.44,Moderate
151,BMW,25500.0,other,163.0,4.8,Petrol,yes,2008,X5,full,High,8,6-10,Moderate,20.38,High
152,Land Rover,53500.0,crossover,69.0,3.5,Diesel,yes,2012,Range Rover Sport,full,Moderate,4,3-6,High,17.25,High
153,Nissan,15999.0,crossover,59.0,2.0,Petrol,yes,2011,Qashqai,full,Low,5,3-6,Moderate,11.8,Moderate
154,Nissan,17700.0,crossover,40.0,1.6,Petrol,yes,2014,Qashqai,front,Low,2,1-3,Moderate,20.0,High
155,Volkswagen,14499.0,van,164.0,2.0,Diesel,yes,2013,T5 (Transporter) груз,front,Low,3,1-3,Moderate,54.67,Extreme
156,Daewoo,4300.0,sedan,70.0,1.5,Petrol,yes,2007,Lanos,front,Low,9,6-10,Low,7.78,Low
157,Mitsubishi,18999.0,crossover,173.0,3.8,Gas,yes,2008,Pajero Wagon,full,Moderate,8,6-10,Moderate,21.62,High
158,Land Rover,79200.0,crossover,45.0,3.0,Petrol,yes,2014,Range Rover Sport,full,Moderate,2,1-3,High,22.5,High
159,Mercedes-Benz,71999.0,crossover,0.0,2.2,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
160,Mercedes-Benz,109999.0,crossover,0.0,3.0,Diesel,yes,2016,GLS 350,full,Moderate,0,0-1,Extreme,0.0,Low
161,Mitsubishi,18500.0,crossover,135.0,3.0,Gas,yes,2009,Pajero Wagon,full,Moderate,7,6-10,Moderate,19.29,High
162,Volkswagen,18900.0,other,45.0,2.0,Diesel,yes,2013,Passat B7,front,Low,3,1-3,Moderate,15.0,Moderate
163,Mercedes-Benz,17900.0,van,167.0,2.2,Diesel,yes,2012,Vito груз.,rear,Moderate,4,3-6,Moderate,41.75,Extreme
164,BMW,67500.0,crossover,1.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
165,BMW,67500.0,crossover,1.0,2.5,Diesel,yes,2016,X5,full,Moderate,0,0-1,High,0.0,Low
166,Land Rover,28999.0,crossover,139.0,3.6,Diesel,yes,2008,Range Rover Sport,full,Moderate,8,6-10,Moderate,17.38,High
167,Land Rover,49999.0,crossover,43.0,5.0,Petrol,yes,2012,Range Rover Sport,full,High,4,3-6,Moderate,10.75,Moderate
168,Toyota,14700.0,sedan,139.0,3.5,Petrol,yes,2008,Camry,front,Moderate,8,6-10,Moderate,17.38,High
169,Land Rover,53500.0,crossover,57.0,3.0,Diesel,yes,2013,Range Rover Sport,full,Moderate,3,1-3,High,19.0,High
170,Daewoo,5600.0,sedan,145.0,1.6,Petrol,yes,2008,Lanos,front,Low,8,6-10,Low,18.12,High
171,Land Rover,78900.0,crossover,16.0,3.0,Diesel,yes,2015,Range Rover Sport,full,Moderate,1,0-1,High,16.0,High
172,Skoda,13200.0,hatch,64.0,1.8,Petrol,yes,2012,Octavia A5,front,Low,4,3-6,Moderate,16.0,High
173,BMW,37200.0,other,115.0,3.0,Diesel,yes,2011,X5,full,Moderate,5,3-6,Moderate,23.0,High
174,Land Rover,27500.0,other,174.0,3.6,Diesel,yes,2008,Range Rover,full,Moderate,8,6-10,Moderate,21.75,High
175,Mazda,9200.0,sedan,124.0,2.0,Petrol,yes,2007,3,front,Low,9,6-10,Low,13.78,Moderate
176,Mercedes-Benz,17500.0,van,220.0,3.0,Diesel,yes,2012,Vito груз.,rear,Moderate,4,3-6,Moderate,55.0,Extreme
177,Toyota,24000.0,sedan,16.0,2.5,Petrol,yes,2013,Camry,front,Moderate,3,1-3,Moderate,5.33,Low
178,Land Rover,77777.0,crossover,42.0,2.99,Diesel,yes,2014,Range Rover Sport,full,Moderate,2,1-3,High,21.0,High
179,Mazda,8000.0,sedan,167.0,2.0,Petrol,yes,2007,6,front,Low,9,6-10,Low,18.56,High
180,BMW,58500.0,crossover,36.0,3.0,Diesel,yes,2013,X5,full,Moderate,3,1-3,High,12.0,Moderate
181,Lexus,85999.0,crossover,39.0,5.7,Gas,yes,2013,LX 570,full,High,3,1-3,High,13.0,Moderate
182,Mercedes-Benz,2400.0,sedan,3.0,3.0,Diesel,yes,1998,E-Class,front,Moderate,18,10-29,Low,0.17,Low
184,Audi,4600.0,vagon,242.0,2.5,Diesel,no,2004,A6,front,Moderate,12,10-29,Low,20.17,High
185,Mitsubishi,18900.0,crossover,127.0,3.0,Gas,yes,2008,Pajero Wagon,full,Moderate,8,6-10,Moderate,15.88,High
186,Mercedes-Benz,114999.0,crossover,0.0,2.99,Diesel,yes,2016,GLS 350,full,Moderate,0,0-1,Extreme,0.0,Low
187,Mercedes-Benz,103333.0,crossover,0.0,3.0,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,Extreme,0.0,Low
189,Toyota,20800.0,crossover,107.0,4.0,Petrol,yes,2006,Land Cruiser Prado,full,Moderate,10,6-10,Moderate,10.7,Moderate
190,BMW,24500.0,crossover,170.0,4.8,Gas,yes,2007,X5,full,High,9,6-10,Moderate,18.89,High
191,Toyota,12300.0,sedan,157.0,2.4,Gas,yes,2007,Camry,front,Moderate,9,6-10,Moderate,17.44,High
193,BMW,11500.0,sedan,193.0,4.4,Petrol,yes,2000,740,rear,High,16,10-29,Moderate,12.06,Moderate
194,Mercedes-Benz,13200.0,van,182.0,2.2,Diesel,yes,2011,Vito груз.,rear,Moderate,5,3-6,Moderate,36.4,Extreme
195,BMW,29900.0,crossover,235.0,3.0,Diesel,yes,2009,X5,full,Moderate,7,6-10,Moderate,33.57,Extreme
196,Mercedes-Benz,12500.0,van,167.0,2.2,Diesel,yes,2013,Vito груз.,rear,Moderate,3,1-3,Moderate,55.67,Extreme
197,Skoda,13999.0,sedan,88.0,1.8,Petrol,yes,2012,Octavia A5,front,Low,4,3-6,Moderate,22.0,High
199,Lexus,79500.0,crossover,40.0,5.7,Petrol,yes,2014,LX 570,full,High,2,1-3,High,20.0,High
200,Land Rover,30000.0,other,155.0,3.6,Diesel,yes,2008,Range Rover Sport,full,Moderate,8,6-10,Moderate,19.38,High
201,Lexus,16600.0,sedan,179.0,3.0,Petrol,yes,2006,GS 300,full,Moderate,10,6-10,Moderate,17.9,High
202,Toyota,14300.0,sedan,71.0,2.4,Petrol,yes,2008,Camry,front,Moderate,8,6-10,Moderate,8.88,Low
203,Lexus,134749.5,crossover,11.0,5.7,Petrol,yes,2016,LX 570,full,High,0,0-1,Extreme,0.0,Low
204,Lexus,47000.0,crossover,1.0,5.7,Petrol,yes,2008,LX 570,full,High,8,6-10,Moderate,0.12,Low
205,Daewoo,3200.0,sedan,130.0,1.5,Petrol,yes,2003,Lanos,front,Low,13,10-29,Low,10.0,Low
206,Mercedes-Benz,125000.0,other,22.0,3.0,Diesel,yes,2015,S 350,full,Moderate,1,0-1,Extreme,22.0,High
207,Audi,24996.0,sedan,98.0,3.2,Petrol,yes,2009,A5,full,Moderate,7,6-10,Moderate,14.0,Moderate
208,Mercedes-Benz,9200.0,other,280.0,2.4,Petrol,yes,2003,E-Class,rear,Moderate,13,10-29,Low,21.54,High
209,Audi,6800.0,sedan,225.0,2.4,Gas,yes,1998,A6,front,Moderate,18,10-29,Low,12.5,Moderate
210,Ford,15500.0,crossover,68.0,2.5,Diesel,yes,2010,Kuga,front,Moderate,6,3-6,Moderate,11.33,Moderate
211,Mercedes-Benz,38200.0,sedan,39.0,1.6,Petrol,yes,2015,C-Class,rear,Low,1,0-1,Moderate,39.0,Extreme
212,Hyundai,10500.0,crossover,120.0,2.0,Other,yes,2007,Tucson,full,Low,9,6-10,Moderate,13.33,Moderate
213,Skoda,19200.0,sedan,75.0,1.8,Petrol,yes,2014,Octavia A7,front,Low,2,1-3,Moderate,37.5,Extreme
214,Mercedes-Benz,125000.0,sedan,18.0,3.0,Diesel,yes,2015,S 350,full,Moderate,1,0-1,Extreme,18.0,High
216,Porsche,51900.0,sedan,78.0,4.8,Petrol,yes,2011,Panamera,full,High,5,3-6,High,15.6,High
217,Porsche,87900.0,crossover,1.0,3.0,Diesel,yes,2016,Cayenne,full,Moderate,0,0-1,High,0.0,Low
218,Toyota,9000.0,sedan,232.0,2.4,Petrol,yes,2005,Camry,front,Moderate,11,10-29,Low,21.09,High
219,Nissan,11500.0,crossover,128.0,2.0,Petrol,yes,2008,Qashqai,full,Low,8,6-10,Moderate,16.0,High
220,Infiniti,35999.0,crossover,98.0,3.7,Gas,yes,2012,FX 37,full,Moderate,4,3-6,Moderate,24.5,High
221,Lexus,21900.0,sedan,77.0,3.0,Petrol,yes,2008,GS 300,rear,Moderate,8,6-10,Moderate,9.62,Low
222,Toyota,13900.0,sedan,139.0,2.4,Other,yes,2008,Camry,front,Moderate,8,6-10,Moderate,17.38,High
223,Lexus,22400.0,crossover,100.0,4.7,Gas,yes,2005,GX,full,High,11,10-29,Moderate,9.09,Low
224,Porsche,81000.0,crossover,35.0,4.8,Petrol,yes,2014,Cayenne,full,High,2,1-3,High,17.5,High
225,Mercedes-Benz,6200.0,other,340.0,2.4,Gas,yes,1998,E-Class,rear,Moderate,18,10-29,Low,18.89,High
226,BMW,66900.0,crossover,70.0,3.0,Diesel,yes,2014,X5,full,Moderate,2,1-3,High,35.0,Extreme
